UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
171988001,Ross Medical Education Center-Lansing,2533600,Ross Medical Education Center,4106 W. Saginaw Highway,LANSING,MI,48917,9,"Private for-profit, less-than 2-year",5.0,77.0,82.0,,,,,,,,,,1,1,1,"4106 W. Saginaw Highway, LANSING, MI 48917",42.74118234743875,-84.92124382182628
171997001,Ross Medical Education Center-Warren,2180100,Ross Medical Education Center,4237 E. 12 Mile Road,Warren,MI,48092,9,"Private for-profit, less-than 2-year",5.0,125.0,130.0,,,,,,,,,,1,1,1,"4237 E. 12 Mile Road, Warren, MI 48092",42.50581693288591,-83.06567877852349
172051001,Saginaw Valley State University,231400,Saginaw Valley State University,7400 BAY RD,UNIVERSITY CENTER,MI,48710,1,"Public, 4-year or above",2454.0,4693.0,7147.0,,,,,,,0.0,0.0,0.0,1,1,1,"7400 BAY RD, UNIVERSITY CENTER, MI 48710",43.514286,-83.96388395926064
172051002,Saginaw Valley State University,231400,Saginaw Valley State University- Regional Education Center  Macomb Facility,30330 Hickey Road,Chesterfield,MI,48051,1,"Public, 4-year or above",2454.0,4693.0,7147.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"30330 Hickey Road, Chesterfield, MI 48051",42.69684280451937,-82.8043168945295
172200002,Schoolcraft Community College District,231500,Radcliff Center,1751 Radcliff,Garden City,MI,48135,1,"Public, 4-year or above",3226.0,4424.0,7650.0,,,,,,,,,,1,1,1,"1751 Radcliff, Garden City, MI 48135",42.3211485,-83.3760436
172264001,Siena Heights University,231600,Adrian Campus,1247 SIENA HEIGHTS DR,ADRIAN,MI,49221,2,"Private nonprofit, 4-year or above",809.0,1048.0,1857.0,,,,,,,,,,1,1,1,"1247 SIENA HEIGHTS DR, ADRIAN, MI 49221",41.9062844,-84.01796520279541
172264003,Siena Heights University,231600,Siena Heights University at Lake Michigan College,2755 E. Napier Ave.,Benton Harbor,MI,59022,2,"Private nonprofit, 4-year or above",809.0,1048.0,1857.0,0.0,0.0,0.0,,,,,,,1,1,1,"2755 E. Napier Ave., Benton Harbor, MI 59022",42.0958373,-86.3955280279766
172264005,Siena Heights University,231600,Siena Heights University at the Monroe Community C,1555 S. Raisinville Road,Monroe,MI,48161,2,"Private nonprofit, 4-year or above",809.0,1048.0,1857.0,,,,,,,,,,1,1,1,"1555 S. Raisinville Road, Monroe, MI 48161",41.9165863,-83.46907334463253
172264007,Siena Heights University,231600,Siena Heights University at Kellogg Center,450 North Avenue,Battle Creek,MI,99017,2,"Private nonprofit, 4-year or above",809.0,1048.0,1857.0,,,,,,,,,,1,1,1,"450 North Avenue, Battle Creek, MI 99017",42.3355963,-85.1783259
172264008,Siena Heights University,231600,Siena Heights University at the Jackson Community,2111 Emmons Road,Jackson,MI,49201,2,"Private nonprofit, 4-year or above",809.0,1048.0,1857.0,,,,,,,,,,1,1,1,"2111 Emmons Road, Jackson, MI 49201",42.16545305,-84.40325205646559
172477001,Western Michigan University-Thomas M. Cooley Law School,1262700,Lansing Campus,300 S CAPITOL AVE,LANSING,MI,48933,2,"Private nonprofit, 4-year or above",241.0,323.0,564.0,,,,,,,,,,1,1,1,"300 S CAPITOL AVE, LANSING, MI 48933",42.7310183,-84.5544209528271
172495001,Twin City Beauty College,3075200,Twin City Beauty College,2600 LINCOLN  AVENUE,SAINT JOSEPH,MI,49085,9,"Private for-profit, less-than 2-year",7.0,241.0,248.0,,,,,,,,,,1,1,1,"2600 LINCOLN  AVENUE, SAINT JOSEPH, MI 49085",42.070897,-86.475448
