UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
118994004,Moler Barber College,2185800,Moler Cosmetology College,22641 Main St.,Hayward,CA,94541,9,"Private for-profit, less-than 2-year",232.0,166.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"22641 Main St., Hayward, CA 94541",37.67221765,-122.0825090453153
118994006,Moler Barber College,2185800,Moler Barber and Cosmetology College,955 Monroe Street,Santa Clara,CA,95050,9,"Private for-profit, less-than 2-year",232.0,166.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"955 Monroe Street, Santa Clara, CA 95050",37.3481164871167,-121.94771294421676
119058001,Middlebury Institute of International Studies at Monterey,369110,Middlebury Institute of International Studies At Monterey,460 Pierce Street,MONTEREY,CA,93940,2,"Private nonprofit, 4-year or above",199.0,458.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"460 Pierce Street, MONTEREY, CA 93940",36.5994812,-121.89739407573188
119067002,Monterey Peninsula College,124200,MPC Public Safety Training Center,2642 Colonel Durham Street,Seaside,CA,93955,4,"Public, 2-year",2879.0,3635.0,6514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2642 Colonel Durham Street, Seaside, CA 93955",36.64623407990248,-121.80091302607042
119067003,Monterey Peninsula College,124200,Education Center at Marina,289 12th Street,Marina,CA,93933,4,"Public, 2-year",2879.0,3635.0,6514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"289 12th Street, Marina, CA 93933",36.66878890567687,-121.8062032820952
119137001,Moorpark College,711500,Moorpark College,7075 Campus Rd,Moorpark,CA,93021,4,"Public, 2-year",5803.0,6681.0,12484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"7075 Campus Rd, Moorpark, CA 93021",34.2996156,-118.8366648656698
119173001,Mount Saint Mary's University,124300,Chalon,12001 CHALON RD,LOS ANGELES,CA,90007,2,"Private nonprofit, 4-year or above",278.0,2162.0,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"12001 CHALON RD, LOS ANGELES, CA 90007",34.08311075643524,-118.480098662321
119173002,Mount Saint Mary's University,124300,Doheny,10 Chester Place,Los Angeles,CA,90007,2,"Private nonprofit, 4-year or above",278.0,2162.0,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"10 Chester Place, Los Angeles, CA 90007",34.03094625,-118.27730133333334
119216002,Mt San Jacinto Community College District,124600,Menifee Valley Campus,28237 La Piedra Road,Menifee,CA,92584,4,"Public, 2-year",5918.0,9235.0,15153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"28237 La Piedra Road, Menifee, CA 92584",33.67454925,-117.16674329509942
119216004,Mt San Jacinto Community College District,124600,San Gorgonio Pass Campus-Non Campus,3144 W. Westward Avenue,Banning,CA,92220,4,"Public, 2-year",5918.0,9235.0,15153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"3144 W. Westward Avenue, Banning, CA 92220",33.917947733205345,-116.91094798425384
