UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
217156001,Brown University,340100,Main Campus,Prospect Street,PROVIDENCE,RI,02912,2,"Private nonprofit, 4-year or above",5381.0,5808.0,11189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"Prospect Street, PROVIDENCE, RI 02912",41.8267064,-71.4046916
217235003,Johnson & Wales University-Providence,340400,Johnson & Wales University-PVD-Center for Equine Studies,29 Francis Street,Rehoboth,MA,02769,2,"Private nonprofit, 4-year or above",1728.0,2838.0,4566.0,,,,,,,,,,1,1,1,"29 Francis Street, Rehoboth, MA 02769",41.883982950000004,-71.20726517977194
217305001,New England Institute of Technology,784500,New England Institute of Technology - Richard I Gouse Building,1 New England Tech Blvd,East Greenwich,RI,02818,2,"Private nonprofit, 4-year or above",1087.0,808.0,1895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"1 New England Tech Blvd, East Greenwich, RI 02818",41.6616,-71.50270757908407
217305003,New England Institute of Technology,784500,Julian B. Gouse Campus - Post Road,2500 Post Road,Warwick,RI,02886,2,"Private nonprofit, 4-year or above",1087.0,808.0,1895.0,,,,,,,,,,1,1,1,"2500 Post Road, Warwick, RI 02886",41.715208000000004,-71.44491127131424
217323001,New England Tractor Trailer Training School of Rhode Island,2584400,Main Campus,600 MOSHASSUCK VALLEY INDUSTRIAL HWY,PAWTUCKET,RI,02860,9,"Private for-profit, less-than 2-year",267.0,9.0,276.0,,,,,,,,,,1,1,1,"600 MOSHASSUCK VALLEY INDUSTRIAL HWY, PAWTUCKET, RI 02860",41.879864043736774,-71.4052071339625
217475003,Community College of Rhode Island,340800,Liston Campus,1 Hilton St.,Providence,RI,02905,4,"Public, 2-year",4800.0,7463.0,12263.0,,,,,,,,,,1,1,1,"1 Hilton St., Providence, RI 02905",41.80732,-71.4137023
217475004,Community College of Rhode Island,340800,Newport County Campus,1 John H. Chafee Blvd.,Newport,RI,02840,4,"Public, 2-year",4800.0,7463.0,12263.0,,,,,,,,,,1,1,1,"1 John H. Chafee Blvd., Newport, RI 02840",41.515833,-71.312563
217484001,University of Rhode Island,341400,Main Campus,85 Briar Lane,KINGSTON,RI,02881,1,"Public, 4-year or above",7314.0,10159.0,17473.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,1,1,"85 Briar Lane, KINGSTON, RI 02881",41.48310077401502,-71.52319161066855
217484002,University of Rhode Island,341400,Narragansett Bay Campus,"Narragansett, RI",Narragansett,RI,02882,1,"Public, 4-year or above",7314.0,10159.0,17473.0,,,,,,,,,,1,1,1,"Narragansett, RI, Narragansett, RI 02882",41.428201,-71.483328
217518002,Roger Williams University,341000,Providence Campus,1 Empire Plaza,Providence,RI,02903,2,"Private nonprofit, 4-year or above",2170.0,2227.0,4397.0,,,,,,,,,,1,1,1,"1 Empire Plaza, Providence, RI 02903",41.82144785,-71.41634450990561
217581001,Empire Beauty School-Warwick,1260608,"Empire Beauty School - Rhode Island, RI",151 Broadway,Providence,RI,02903,9,"Private for-profit, less-than 2-year",1.0,134.0,135.0,,,,,,,,,,1,1,1,"151 Broadway, Providence, RI 02903",41.821372966395515,-71.42303283853052
217606001,Northpoint Bible College,3570500,Haverhill (Main) Campus,320 South Main St,Haverhill,MA,01835,2,"Private nonprofit, 4-year or above",118.0,107.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"320 South Main St, Haverhill, MA 01835",42.7634537,-71.0790020909418
217615001,Aiken Technical College,1005600,Main Campus,2276 JEFFERSON DAVIS HIGHWAY,Graniteville,SC,29829,4,"Public, 2-year",748.0,1373.0,2121.0,,,,,,,,,,1,1,1,"2276 JEFFERSON DAVIS HIGHWAY, Graniteville, SC 29829",33.534357299999996,-81.84271082150661
217624001,Allen University,341700,Main Campus,1530 Harden Street,Columbia,SC,29204,2,"Private nonprofit, 4-year or above",372.0,285.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"1530 Harden Street, Columbia, SC 29204",34.010462950000004,-81.0199355569104
217633001,Anderson University,341800,Main Campus,316 BOULEVARD,ANDERSON,SC,29621,2,"Private nonprofit, 4-year or above",1436.0,2685.0,4121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"316 BOULEVARD, ANDERSON, SC 29621",34.51256541860465,-82.63914852325581
217633002,Anderson University,341800,The University Center,225 S. Pleasantburg Drive,Greenville,SC,29607,2,"Private nonprofit, 4-year or above",1436.0,2685.0,4121.0,,,,,,,,,,1,1,1,"225 S. Pleasantburg Drive, Greenville, SC 29607",34.8386014,-82.364888
217721001,Benedict College,342000,Benedict College,1600 Harden Street,Columbia,SC,29204,2,"Private nonprofit, 4-year or above",828.0,1012.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1,1,1,"1600 Harden Street, Columbia, SC 29204",34.0155296,-81.0189191
217819002,College of Charleston,342800,North Campus,3800 Paramount Dr,North Charleston,SC,29405,1,"Public, 4-year or above",3498.0,7387.0,10885.0,,,,,,,,,,1,1,1,"3800 Paramount Dr, North Charleston, SC 29405",32.8528458,-80.0215121
217837002,Northeastern Technical College,760200,Marlboro County Campus,1120 Oakwood Street,Bennettsville,SC,29512,4,"Public, 2-year",425.0,1041.0,1466.0,,,,,,,,,,1,1,1,"1120 Oakwood Street, Bennettsville, SC 29512",34.63832859183673,-79.69829979591837
217837004,Northeastern Technical College,760200,Chesterfield County - Pageland Campus,815 South Pearl Street,Pageland,SC,29728,4,"Public, 2-year",425.0,1041.0,1466.0,,,,,,,,,,1,1,1,"815 South Pearl Street, Pageland, SC 29728",34.7696919,-80.3905385
217864001,Citadel Military College of South Carolina,342300,The Citadel,171 MOULTRIE STREET,CHARLESTON,SC,29409,1,"Public, 4-year or above",2831.0,890.0,3721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"171 MOULTRIE STREET, CHARLESTON, SC 29409",32.79639815,-79.96118326953992
217873001,Claflin University,342400,Main Campus,400 Magnolia St,Orangeburg,SC,29115,2,"Private nonprofit, 4-year or above",564.0,1266.0,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"400 Magnolia St, Orangeburg, SC 29115",33.49941805,-80.85315432801221
217882014,Clemson University,342500,International Center for Automotive Research,5 Research Drive,Greenville,SC,29607,1,"Public, 4-year or above",13554.0,14912.0,28466.0,,,,,,,,,,1,1,1,"5 Research Drive, Greenville, SC 29607",34.814331100000004,-82.32704689163766
217882021,Clemson University,342500,Self Regional Hall,114 Gregor Mendel Circle,Greenwood,SC,29648,1,"Public, 4-year or above",13554.0,14912.0,28466.0,,,,,,,,,,1,1,1,"114 Gregor Mendel Circle, Greenwood, SC 29648",34.17465235,-82.1686859279954
218025005,Florence-Darlington Technical College,399000,Cosmetology Center,122 Palmetto Road,Darlington,SC,29532,4,"Public, 2-year",1087.0,1853.0,2940.0,,,,,,,,,,1,1,1,"122 Palmetto Road, Darlington, SC 29532",34.25291266025797,-79.82624690346468
218025007,Florence-Darlington Technical College,399000,Mullins Site,109 South Main Street,Mullins,SC,29574,4,"Public, 2-year",1087.0,1853.0,2940.0,,,,,,,,,,1,1,1,"109 South Main Street, Mullins, SC 29574",34.205087244248716,-79.25430884824029
