UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
177472004,Ozarks Technical Community College,3083000,Table Rock Campus,10698 Historic Highway 165,Hollister,MO,65672,4,"Public, 2-year",4594.0,6295.0,10889.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"10698 Historic Highway 165, Hollister, MO 65672",36.60452075,-93.23528163181685
177603001,Summit Salon Academy Kansas City,959000,Summit Salon Academy Kansas City,815 W 23RD ST.,INDEPENDENCE,MO,64055,9,"Private for-profit, less-than 2-year",3.0,121.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"815 W 23RD ST., INDEPENDENCE, MO 64055",39.07950883838384,-94.42699532323232
177676002,Jefferson College,246800,Jefferson College Arnold,1687 Missouri State Road,Arnold,MO,63010,4,"Public, 2-year",1452.0,2174.0,3626.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1687 Missouri State Road, Arnold, MO 63010",38.4397099,-90.40053084748789
177676004,Jefferson College,246800,Jefferson College Imperial,4400 Jeffco Boulevard,Arnold,MO,63010,4,"Public, 2-year",1452.0,2174.0,3626.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"4400 Jeffco Boulevard, Arnold, MO 63010",38.438885,-90.3732213
177685001,Paul Mitchell the School-Missouri Columbia,3077200,Paul Mitchell the School Missouri Columbia,1101 Hutchens Drive,COLUMBIA,MO,65203,9,"Private for-profit, less-than 2-year",13.0,130.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1101 Hutchens Drive, COLUMBIA, MO 65203",38.966063,-92.374973
177719002,Barnes-Jewish College Goldfarb School of Nursing,638900,Barnes-Jewish College Goldfarb School of Nursing- West Campus,3005 North Ballas,St. Louis,MO,63131,2,"Private nonprofit, 4-year or above",66.0,427.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3005 North Ballas, St. Louis, MO 63131",38.6344180606143,-90.44363464146038
177746001,Kansas City Art Institute,247300,Kansas City Art Institute,4415 WARWICK BLVD,KANSAS CITY,MO,64111,2,"Private nonprofit, 4-year or above",167.0,571.0,738.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,1,1,"4415 WARWICK BLVD, KANSAS CITY, MO 64111",39.04780035227273,-94.58438568181818
177834001,A T Still University of Health Sciences,247700,Missouri Campus,800 W. Jefferson St.,Kirksville,MO,63501,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"800 W. Jefferson St., Kirksville, MO 63501",40.1939311,-92.5889767
177834002,A T Still University of Health Sciences,247700,Arizona Campus,5850 E. Still Circle,Mesa,AZ,85206,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"5850 E. Still Circle, Mesa, AZ 85206",33.382908900000004,-111.7049219048442
177834004,A T Still University of Health Sciences,247700,Beaufort Jasper Hampton Campus,1520 Grays Hwy.,Ridgeland,SC,29936,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1520 Grays Hwy., Ridgeland, SC 29936",32.506035448979596,-80.99135693877551
