UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
445267006,Central Methodist University-College of Graduate and Extended Studies,245300,Central Methodist University at Sedalia,3201 West 16th Street,Sedalia,MO,65301,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"3201 West 16th Street, Sedalia, MO 65301",38.6969174,-93.2691016
445267009,Central Methodist University-College of Graduate and Extended Studies,245300,Central Methodist University at Poplar Bluff,2080 Three Rivers Boulevard,Poplar Bluff,MO,63901,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2080 Three Rivers Boulevard, Poplar Bluff, MO 63901",36.77524206752422,-90.43178701218484
445267011,Central Methodist University-College of Graduate and Extended Studies,245300,Central Methodist University at Maryland Heights,2458 Old Dorsett Road,Saint Louis,MO,63043,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2458 Old Dorsett Road, Saint Louis, MO 63043",38.7171451,-90.4456393
445267019,Central Methodist University-College of Graduate and Extended Studies,245300,Central Methodist University at Arnold,1687 Missouri State Road,Arnold,MO,63010,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1687 Missouri State Road, Arnold, MO 63010",38.4397099,-90.40053084748789
445267020,Central Methodist University-College of Graduate and Extended Studies,245300,CMU at Neosho,601 LaClede Avenue,Neosho,MO,64850,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"601 LaClede Avenue, Neosho, MO 64850",36.8139569,-94.3679951
445364001,North-West College-Riverside,1287201,NWC-RI,4550 La Sierra Ave.,Riverside,CA,92505,6,"Private for-profit, 2-year",62.0,558.0,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"4550 La Sierra Ave., Riverside, CA 92505",33.914456850228085,-117.48528386567078
445540001,Arthur's Beauty College,2538500,Branch Campus,2320 Washington Ave,Conway,AR,72032,9,"Private for-profit, less-than 2-year",0.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2320 Washington Ave, Conway, AR 72032",35.109788,-92.44569523076925
445656001,Spa Tech Institute-Plymouth,2104404,Spa Tech Institute,59 INDUSTRIAL PARK RD,PLYMOUTH,MA,02360,9,"Private for-profit, less-than 2-year",7.0,206.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"59 INDUSTRIAL PARK RD, PLYMOUTH, MA 02360",41.962849318067015,-70.69851101074329
445708001,Johnson & Wales University-Charlotte,340410,Johnson & Wales University -- Charlotte Campus,801 West Trade Street,Charlotte,NC,28202,2,"Private nonprofit, 4-year or above",387.0,753.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"801 West Trade Street, Charlotte, NC 28202",35.2329814,-80.85115554920948
445735001,Roseman University of Health Sciences,4065300,Main Campus,11 Sunset Way,Henderson,NV,89014,2,"Private nonprofit, 4-year or above",547.0,932.0,1479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"11 Sunset Way, Henderson, NV 89014",36.072793575920734,-115.06715422018816
445735003,Roseman University of Health Sciences,4065300,Summerlin Campus,10530 Discovery Drive,Las Vegas,NV,89135,2,"Private nonprofit, 4-year or above",547.0,932.0,1479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"10530 Discovery Drive, Las Vegas, NV 89135",36.121187199999994,-115.32195908781378
445841001,Kenneth Shuler School of Cosmetology-Spartanburg,2341103,Kenneth Shuler School of Cosmetology,1515 John B White Sr Blvd,Spartanburg,SC,29301,9,"Private for-profit, less-than 2-year",2.0,154.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1515 John B White Sr Blvd, Spartanburg, SC 29301",34.923333,-81.972694
445850001,Kenneth Shuler School of Cosmetology-Columbia,2341104,Kenneth Shuler School of Cosmetology,7474 Garners Ferry Road,Columbia,SC,29209,9,"Private for-profit, less-than 2-year",3.0,114.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"7474 Garners Ferry Road, Columbia, SC 29209",33.96661791664943,-80.9445219231184
445911001,Lincoln Technical Institute-Shelton,730303,Lincoln Technical Institute - Shelton,8 Progress Drive,Shelton,CT,06484,9,"Private for-profit, less-than 2-year",323.0,414.0,737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"8 Progress Drive, Shelton, CT 06484",41.2719469,-73.1320005
446039001,Arizona School of Acupuncture and Oriental Medicine,3695500,Main Campus,2856 E Fort Lowell Road,Tucson,AZ,85716,3,"Private for-profit, 4-year or above",9.0,24.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2856 E Fort Lowell Road, Tucson, AZ 85716",32.26485382754007,-110.92947967424784
446048001,Ave Maria University,3941300,Ave Maria University,5050 Ave Maria Blvd,Ave Maria,FL,34142,2,"Private nonprofit, 4-year or above",608.0,702.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"5050 Ave Maria Blvd, Ave Maria, FL 34142",26.337083167912215,-81.4380229069986
446084002,CALC Institute of Technology,3914300,CALC Institute of Technology - Fairview Heights,4632 North Illinois Street,Fairview Heights,IL,62208,9,"Private for-profit, less-than 2-year",7.0,54.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"4632 North Illinois Street, Fairview Heights, IL 62208",38.57078055555556,-89.98468155555555
446093001,Sutter County Career Training Center,3874300,Main Campus,990A Klamath Lane,Yuba City,CA,95993,9,"Private for-profit, less-than 2-year",4.0,52.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"990A Klamath Lane, Yuba City, CA 95993",39.1394488,-121.6516885
446233001,Ecclesia College,3855300,Springdale campus,9653 Nations Dr.,Springdale,AR,72762,2,"Private nonprofit, 4-year or above",88.0,69.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"9653 Nations Dr., Springdale, AR 72762",36.2140977,-94.23674176699188
446242002,Employment Solutions-College for Technical Education,3885300,Employment Solutions College for Technical Education-Winchester,2135 Bypass Road,Winchester,KY,40391,8,"Private nonprofit, less-than 2-year",30.0,98.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2135 Bypass Road, Winchester, KY 40391",37.981032737068965,-84.20105177586207
446260002,Evergreen Beauty and Barber College-Everett,3917300,Renton Campus,1222 Bronson Way North,Renton,WA,98057,9,"Private for-profit, less-than 2-year",16.0,750.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1222 Bronson Way North, Renton, WA 98057",47.4842704,-122.2007454
446260003,Evergreen Beauty and Barber College-Everett,3917300,Yakima Campus,401 N 1st St,Yakima,WA,98901,9,"Private for-profit, less-than 2-year",16.0,750.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"401 N 1st St, Yakima, WA 98901",46.607383,-120.50848
446260004,Evergreen Beauty and Barber College-Everett,3917300,Mount Vernon Campus,509 S 1st St,Mount Vernon,WA,98273,9,"Private for-profit, less-than 2-year",16.0,750.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"509 S 1st St, Mount Vernon, WA 98273",48.4192092,-122.3381164
446260005,Evergreen Beauty and Barber College-Everett,3917300,Bellingham Campus (005),509 S 1st St,Mount Vernon,WA,98273,9,"Private for-profit, less-than 2-year",16.0,750.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"509 S 1st St, Mount Vernon, WA 98273",48.4192092,-122.3381164
446288001,Paul Mitchell the School-Great Lakes,3907300,Paul Mitchell the School Great Lakes,2950 LAPEER RD,PORT HURON,MI,48060,9,"Private for-profit, less-than 2-year",0.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2950 LAPEER RD, PORT HURON, MI 48060",42.978403040816325,-82.45862571428572
446303001,Healthcare Training Institute,3803300,Main Campus,1969 MORRIS AVE,UNION,NJ,07083,6,"Private for-profit, 2-year",1.0,68.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1969 MORRIS AVE, UNION, NJ 07083",40.69649925,-74.26827580041926
446385001,Los Angeles College of Music,3868400,Main Campus,370 S FAIR OAKS AVE,Pasadena,CA,91105,3,"Private for-profit, 4-year or above",138.0,101.0,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"370 S FAIR OAKS AVE, Pasadena, CA 91105",34.13997842857143,-118.15031285714286
446516001,Rosslyn Training Academy of Cosmetology,3638300,"Rosslyn Training Academy of Cosmetology, Inc.",Calle Paz 213,Aguada,PR,00602,9,"Private for-profit, less-than 2-year",3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"Calle Paz 213, Aguada, PR 00602",18.379321,-67.188109
446525001,SAE Institute of Technology-Nashville,3830300,SAE Institute of Technology-Nashville,7 MUSIC CIRCLE N,NASHVILLE,TN,37203,3,"Private for-profit, 4-year or above",1314.0,242.0,1556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"7 MUSIC CIRCLE N, NASHVILLE, TN 37203",36.15063254307819,-86.78988502347323
446525002,SAE Institute of Technology-Nashville,3830300,SAE Institute of Technology-New York,218 West 18th Street,New York,NY,10011,3,"Private for-profit, 4-year or above",1314.0,242.0,1556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,"218 West 18th Street, New York, NY 10011",40.74129145,-73.9990304692885
446552001,Southern Technical College,3903500,Southern Technical College- Orlando,1485 Florida Mall Avenue,Orlando,FL,32809,6,"Private for-profit, 2-year",813.0,708.0,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1485 Florida Mall Avenue, Orlando, FL 32809",28.44857105,-81.39970677079111
